위도,경도,제한속도,단속구분,방위
35.48196,127.68892,60,과속단속,-1
35.53924,127.74010,50,과속단속,-1
35.46734,127.77158,30,과속단속,-1
35.54129,127.81865,60,과속단속,-1
35.55617,127.71058,50,과속단속,-1
35.62944,127.72753,60,과속단속,-1
35.48535,127.69470,60,과속단속,275
35.37768,127.66059,40,과속단속,-1
35.60084,127.77566,60,과속단속,-1
35.51772,127.75992,40,과속단속,-1
35.57223,127.73823,50,과속단속,-1
35.49290,127.80102,50,과속단속,-1
35.52289,127.73140,30,과속단속,-1
35.52026,127.72636,30,과속단속,-1
35.68455,127.68763,30,과속단속,-1
35.68391,127.68571,30,과속단속,-1
35.64829,127.69832,40,과속단속,-1
35.53062,127.68877,30,과속단속,-1
35.52023,127.71928,30,과속단속,-1
35.38590,127.65981,30,과속단속,-1
35.47650,127.73676,30,과속단속,-1
35.47240,127.79343,30,과속단속,-1
35.61736,127.79303,60,과속단속,-1
35.52996,127.71317,60,과속단속,-1
35.55190,127.76809,60,과속단속,-1
35.50361,127.71820,30,과속단속,-1
35.52505,127.76524,70,과속단속,-1
35.62902,127.78536,60,과속단속,-1
35.69833,127.68628,60,과속단속,-1
35.62633,127.73871,60,과속단속,-1
35.63711,127.71431,60,과속단속,-1
35.54389,127.78096,80,과속단속,165
35.63371,127.79599,60,과속단속,-1
35.53092,127.69601,60,과속단속,-1
35.53145,127.67628,60,과속단속,-1
35.53456,127.73821,60,과속단속,-1
35.54499,127.75982,60,과속단속,-1
35.43905,127.76014,60,과속단속,-1
35.59587,127.80128,80,과속단속,26
35.56416,127.78280,80,과속단속,21
35.63544,127.81323,80,과속단속,327
35.51221,127.80994,80,과속단속,134
36.65578,128.45079,30,보호구역,-1
35.65025,128.75055,60,과속단속,170
35.62884,128.56929,60,과속단속,-1
35.66158,128.67253,60,과속단속,-1
35.66260,128.67245,60,과속단속,-1
35.70414,128.81297,60,과속단속,-1
35.62126,128.76250,60,과속단속,-1
35.64856,128.73232,30,과속단속,-1
35.64866,128.73220,30,과속단속,-1
35.64938,129.03068,50,과속단속,-1
35.67577,128.86589,60,과속단속,-1
35.71374,128.88594,70,과속단속,-1
35.65686,128.69675,70,과속단속,295
35.69904,128.68737,60,과속단속,131
35.69281,128.89535,60,과속단속,209
35.69162,128.89514,60,과속단속,-1
35.62878,128.59625,60,과속단속,-1
35.71226,128.90950,60,과속단속,-1
35.64118,128.66359,70,과속단속,119
35.65020,128.73227,60,과속단속,-1
35.65026,128.73200,60,과속단속,-1
35.73745,128.86630,70,과속단속,-1
35.66247,128.74759,60,과속단속,175
35.68639,128.68476,60,과속단속,161
35.66666,128.69737,60,과속단속,-1
35.64961,128.72522,80,과속단속,-1
34.55153,126.80449,60,보호구역,9
34.63381,126.76634,50,보호구역,-1
34.53627,126.79425,60,보호구역,-1
34.51385,126.72229,40,보호구역,-1
34.61479,126.78890,60,보호구역,-1
34.56935,126.79821,80,보호구역,316
34.65171,126.73082,80,보호구역,300
34.69427,126.71150,80,보호구역,336
34.62735,126.78497,80,보호구역,258
34.64817,126.73792,80,보호구역,120
34.59138,126.73172,80,보호구역,36
34.70194,126.70818,80,보호구역,163
34.55624,126.72514,60,보호구역,-1
34.52540,126.79213,60,보호구역,-1
34.62651,126.76480,80,보호구역,318
34.61955,126.75116,80,보호구역,-1
34.61978,126.75087,80,보호구역,-1
35.58291,127.39761,30,보호구역,-1
35.73274,127.58724,30,보호구역,-1
35.73049,127.58763,30,보호구역,-1
35.65050,127.51689,30,보호구역,-1
35.65375,127.52026,30,보호구역,-1
35.62544,127.50626,30,보호구역,-1
35.64909,127.52097,30,보호구역,-1
35.56750,127.55652,30,보호구역,-1
35.53421,127.54600,30,보호구역,-1
35.58599,127.39510,30,보호구역,-1
35.78761,127.61499,30,보호구역,-1
35.70264,127.57785,30,보호구역,-1
35.78737,127.61491,30,보호구역,-1
35.53448,127.54623,30,보호구역,-1
35.73154,127.58201,30,보호구역,-1
35.73561,127.53264,30,보호구역,-1
35.57844,127.40406,60,과속단속,-1
35.70318,127.52052,60,과속단속,-1
35.74887,127.53941,60,과속단속,-1
35.74923,127.53927,60,과속단속,-1
35.58928,127.50499,60,과속단속,-1
35.58899,127.50540,60,과속단속,-1
35.54966,127.49563,60,과속단속,-1
35.74559,127.56789,60,과속단속,-1
35.72909,127.59386,60,과속단속,-1
35.73645,127.58391,60,과속단속,109
35.73683,127.58429,60,과속단속,6
35.68386,127.51685,60,과속단속,-1
35.52171,127.53522,60,과속단속,-1
35.74578,127.58786,60,과속단속,-1
35.70137,127.57721,30,보호구역,-1
35.72653,127.59819,40,과속단속,-1
35.62443,127.50614,30,보호구역,-1
35.67037,127.52244,60,과속단속,-1
35.78534,127.61232,60,과속단속,-1
35.70465,127.57889,60,과속단속,-1
35.68722,127.56235,60,과속단속,-1
35.72393,127.52725,60,과속단속,-1
35.55873,127.49252,40,과속단속,-1
35.55873,127.49250,40,과속단속,-1
35.60370,127.50931,60,과속단속,-1
36.36857,126.79551,60,과속단속,-1
36.43824,126.95582,30,보호구역,-1
36.49366,126.80326,60,과속단속,-1
36.54711,126.85103,60,과속단속,-1
36.43374,127.01543,70,과속단속,-1
36.41132,126.95112,30,보호구역,-1
36.37014,126.93480,60,과속단속,-1
36.36091,126.79190,30,보호구역,-1
36.49040,126.78910,70,과속단속,164
36.46783,126.79864,70,과속단속,177
36.46080,126.79758,70,과속단속,13
36.41268,126.70222,70,과속단속,35
36.42554,126.71788,70,과속단속,220
36.44509,126.73642,70,과속단속,-1
36.45159,126.73725,30,보호구역,-1
36.46079,126.84201,70,과속단속,48
36.46492,126.86954,70,과속단속,67
36.42568,126.95503,70,과속단속,331
36.40927,126.99313,70,과속단속,-1
36.42710,127.00567,70,과속단속,61
36.38039,126.93641,60,과속단속,-1
36.40784,126.95780,60,과속단속,-1
36.43907,126.84308,60,과속단속,-1
36.51798,126.79501,70,과속단속,19
36.40311,126.94177,60,과속단속,-1
36.42910,126.79519,60,과속단속,-1
36.52489,126.84629,30,보호구역,-1
36.43769,126.95553,30,보호구역,-1
36.34491,126.89871,30,보호구역,-1
36.42586,126.71461,30,보호구역,-1
36.44606,126.82870,30,보호구역,-1
36.45318,126.80597,30,보호구역,-1
36.41467,126.94710,30,보호구역,-1
36.45414,126.80122,30,보호구역,-1
36.51643,126.78699,30,보호구역,-1
36.43043,126.71687,30,보호구역,-1
36.39994,126.77722,30,보호구역,-1
36.44869,126.78799,30,보호구역,-1
36.45149,126.79840,30,보호구역,257
36.37313,126.93558,50,보호구역,-1
36.42057,127.00619,30,보호구역,-1
36.40027,126.77675,30,보호구역,-1
36.41454,126.94590,30,보호구역,-1
36.44592,126.82961,30,보호구역,-1
36.76133,126.45328,60,과속단속,97
36.84440,126.47526,70,과속단속,-1
36.77834,126.44266,40,과속단속,-1
36.77897,126.44415,40,과속단속,-1
36.77929,126.46833,50,과속단속,223
36.77111,126.45980,50,과속단속,40
36.78604,126.51522,80,과속단속,65
36.78603,126.51522,80,과속단속,65
36.91603,126.44248,70,과속단속,184
36.91726,126.44282,70,과속단속,6
36.90279,126.44241,70,과속단속,181
36.76774,126.46194,30,과속단속,-1
36.76765,126.46149,30,과속단속,-1
36.78128,126.45512,30,과속단속,-1
36.77863,126.44738,30,과속단속,-1
36.76851,126.44660,30,과속단속,-1
36.76895,126.44383,30,과속단속,-1
36.78424,126.46831,30,과속단속,-1
36.80913,126.44010,70,과속단속,177
36.80977,126.44019,70,과속단속,356
36.77458,126.46332,40,과속단속,220
36.76792,126.46169,30,과속단속,-1
36.68151,126.57999,70,과속단속,314
36.73715,126.51753,80,과속단속,141
36.73908,126.51597,80,과속단속,326
36.76034,126.48552,60,과속단속,-1
36.81116,126.58267,30,과속단속,-1
36.86687,126.43653,30,과속단속,-1
36.97621,126.38809,50,과속단속,-1
36.93905,126.43559,30,과속단속,-1
36.93932,126.43624,30,과속단속,-1
36.66768,126.53054,30,과속단속,-1
36.66765,126.53082,30,과속단속,-1
36.78702,126.46334,40,과속단속,-1
36.78710,126.46334,40,과속단속,-1
36.74385,126.44858,30,과속단속,-1
36.74385,126.44853,30,과속단속,-1
36.77027,126.46427,30,과속단속,-1
36.76998,126.46382,30,과속단속,-1
36.76691,126.45109,30,과속단속,-1
36.78291,126.46691,30,과속단속,-1
36.76948,126.44588,30,과속단속,-1
36.78466,126.44517,30,과속단속,-1
36.73313,126.49842,30,과속단속,-1
36.81508,126.34328,60,과속단속,-1
36.97038,126.41196,70,과속단속,179
36.77722,126.45188,40,과속단속,352
36.86338,126.43332,70,과속단속,347
36.86314,126.43321,70,과속단속,163
36.83231,126.49853,50,과속단속,132
36.83257,126.49859,50,과속단속,312
36.97604,126.38490,30,과속단속,-1
36.72622,126.51937,30,과속단속,-1
36.76926,126.46368,30,과속단속,-1
36.76773,126.45930,30,과속단속,-1
36.76672,126.45997,30,과속단속,-1
36.77647,126.44625,30,과속단속,-1
36.77774,126.44643,30,과속단속,-1
36.75706,126.42466,30,과속단속,-1
36.75405,126.42281,30,과속단속,-1
36.81098,126.58196,30,과속단속,-1
36.71372,126.39539,30,과속단속,-1
36.77583,126.40066,30,과속단속,-1
36.82367,126.44945,30,과속단속,-1
36.82361,126.44945,30,과속단속,-1
36.76854,126.44894,30,과속단속,-1
36.76138,126.45323,60,과속단속,-1
36.87727,126.43966,70,과속단속,204
36.77012,126.43426,50,과속단속,64
36.76768,126.42145,80,과속단속,260
36.83162,126.50014,70,과속단속,286
36.82148,126.45147,50,과속단속,-1
36.77006,126.45177,50,과속단속,289
36.77348,126.44248,50,과속단속,37
36.98994,126.43189,80,과속단속,80
36.98996,126.43189,80,과속단속,80
36.85828,126.45684,70,과속단속,-1
36.93446,126.43717,50,과속단속,321
36.77255,126.44858,40,과속단속,-1
36.82807,126.51450,70,과속단속,-1
36.82809,126.51450,70,과속단속,109
36.80651,126.54729,70,과속단속,322
36.77458,126.46332,50,과속단속,220
36.68493,126.57947,70,과속단속,170
36.82409,126.45002,30,과속단속,-1
36.82431,126.45002,30,과속단속,-1
36.89145,126.43988,70,과속단속,186
36.77495,126.43858,50,과속단속,152
36.94202,126.42994,50,과속단속,339
36.84371,126.43988,70,과속단속,170
36.96730,126.41238,70,과속단속,162
36.96862,126.41201,70,과속단속,176
36.76477,126.44675,30,과속단속,-1
36.76854,126.44893,30,과속단속,-1
36.74933,126.50658,60,과속단속,131
36.77326,126.46744,50,과속단속,310
36.77377,126.46629,50,과속단속,130
36.83506,126.44154,70,과속단속,-1
36.66907,126.52570,80,과속단속,65
36.66928,126.52066,80,과속단속,-1
36.94712,126.42746,50,과속단속,-1
36.94723,126.42763,50,과속단속,-1
36.99047,126.39865,60,과속단속,74
36.99042,126.39865,60,과속단속,74
36.82407,126.45002,50,과속단속,-1
36.76042,126.48592,60,과속단속,-1
36.76117,126.45311,50,과속단속,-1
36.76632,126.46913,60,과속단속,35
36.77753,126.46102,40,과속단속,-1
36.76269,126.44047,60,과속단속,107
36.76298,126.43883,60,과속단속,98
36.78500,126.47497,50,과속단속,223
36.78370,126.43712,50,과속단속,145
36.93986,126.43079,50,과속단속,145
36.93862,126.43286,50,과속단속,314
36.97169,126.41006,30,과속단속,-1
36.97067,126.41076,30,과속단속,-1
36.71705,126.39387,30,과속단속,-1
36.77849,126.44491,30,과속단속,-1
36.81112,126.58267,30,과속단속,-1
36.74620,126.48335,30,과속단속,-1
36.70575,126.51044,30,과속단속,78
36.76171,126.50916,30,과속단속,-1
36.75993,126.51188,30,과속단속,-1
36.66129,126.40070,30,과속단속,-1
36.66172,126.40056,30,과속단속,-1
36.75199,126.37208,30,과속단속,-1
36.82365,126.44945,30,과속단속,-1
36.82368,126.44945,30,과속단속,-1
36.71762,126.53866,30,과속단속,-1
36.71489,126.54566,30,과속단속,-1
36.75583,126.42703,30,과속단속,-1
36.75477,126.42675,30,과속단속,-1
36.79810,126.52043,30,과속단속,-1
36.81110,126.58267,30,과속단속,-1
36.83822,126.47019,30,과속단속,-1
36.84471,126.47496,70,과속단속,300
36.90173,126.44250,70,과속단속,5
36.76767,126.44339,30,과속단속,-1
36.98908,126.42539,70,과속단속,233
36.82091,126.44828,30,과속단속,-1
36.69856,126.39202,30,과속단속,95
36.77571,126.45183,30,과속단속,-1
36.83797,126.46188,30,과속단속,-1
36.77044,126.47163,60,과속단속,310
36.77070,126.47101,60,과속단속,130
36.77000,126.45177,50,과속단속,109
36.78365,126.44191,30,과속단속,-1
36.76787,126.46027,30,과속단속,-1
36.72011,126.53458,80,과속단속,335
36.71970,126.53459,80,과속단속,170
36.81957,126.44008,70,과속단속,8
36.76974,126.47201,60,과속단속,215
36.77027,126.47218,60,과속단속,265
36.77835,126.47989,60,과속단속,214
36.77811,126.47987,60,과속단속,35
36.78583,126.48595,60,과속단속,122
36.77915,126.57112,60,과속단속,-1
36.79502,126.53772,80,과속단속,57
36.78631,126.44277,40,과속단속,-1
36.79927,126.46542,40,과속단속,-1
36.83162,126.50016,50,과속단속,286
36.98759,126.36512,70,과속단속,89
36.98756,126.36512,70,과속단속,-1
36.91052,126.44184,70,과속단속,195
36.72867,126.43959,50,과속단속,-1
36.78446,126.44041,40,과속단속,-1
36.76407,126.46708,60,과속단속,-1
36.77943,126.44562,30,과속단속,-1
36.80045,126.51971,30,과속단속,-1
36.81243,126.58215,30,과속단속,-1
36.70847,126.39145,70,과속단속,141
36.70763,126.39205,70,과속단속,141
36.72309,126.40212,70,과속단속,46
36.72425,126.40114,70,과속단속,-1
36.73802,126.42102,70,과속단속,26
36.73776,126.42056,70,과속단속,-1
36.74715,126.42907,70,과속단속,31
36.74752,126.42940,70,과속단속,24
36.75927,126.43009,70,과속단속,-1
36.75926,126.43002,70,과속단속,-1
36.71720,126.54399,30,과속단속,-1
36.66803,126.53281,30,과속단속,-1
36.78600,126.46355,30,과속단속,-1
36.78427,126.46813,30,과속단속,-1
36.76932,126.46348,30,과속단속,-1
36.76960,126.46320,30,과속단속,-1
36.78704,126.45572,30,과속단속,-1
37.60272,127.13528,50,과속단속,-1
37.63856,127.13974,50,보호구역,19
37.63826,127.13937,50,보호구역,-1
37.60983,127.13418,30,보호구역,-1
37.63079,127.12050,30,보호구역,-1
37.58809,127.13205,30,보호구역,-1
37.60547,127.13074,30,보호구역,-1
37.59169,127.14277,30,보호구역,-1
37.60664,127.14287,30,보호구역,-1
37.60666,127.14333,30,보호구역,-1
37.60658,127.14184,30,보호구역,-1
37.60824,127.14136,30,보호구역,-1
37.58746,127.13451,30,보호구역,-1
37.58757,127.13486,40,보호구역,90
37.59013,127.14366,30,보호구역,-1
37.59190,127.14224,30,보호구역,-1
37.58997,127.14324,30,보호구역,-1
37.60829,127.14099,30,보호구역,-1
37.62852,127.11535,30,보호구역,-1
37.59461,127.13128,50,과속단속,356
37.59717,127.13334,30,보호구역,-1
37.60446,127.13354,50,보호구역,29
37.60781,127.13080,50,보호구역,-1
37.61119,127.14012,60,과속단속,-1
37.61096,127.14066,60,과속단속,78
37.63961,127.14683,70,과속단속,114
37.62533,127.11834,100,과속단속,50
37.57875,127.13165,100,과속단속,267
37.61925,127.13980,60,과속단속,234
37.64136,127.11177,60,과속단속,218
37.57813,127.15334,70,과속단속,168
37.62912,127.11564,30,보호구역,-1
37.57467,127.12659,40,과속단속,319
37.57439,127.12652,40,과속단속,93
37.57437,127.12649,40,과속단속,150
37.60259,127.14502,50,과속단속,60
37.59446,127.15063,60,과속단속,-1
37.63516,127.12256,30,과속단속,-1
37.63695,127.12332,50,과속단속,-1
37.63713,127.12456,30,과속단속,-1
37.60066,127.13580,50,과속단속,275
37.60395,127.14025,30,보호구역,-1
37.61088,127.13204,30,과속단속,-1
37.60462,127.14206,30,보호구역,-1
37.60123,127.12441,50,과속단속,93
37.59172,127.13126,60,과속단속,185
37.62623,127.11092,60,과속단속,-1
37.60392,127.13491,30,과속단속,-1
37.60468,127.11472,100,과속단속,182
37.61219,127.13781,50,과속단속,182
37.61806,127.14369,50,과속단속,-1
37.61140,127.13342,30,보호구역,-1
37.59076,127.13792,60,과속단속,-1
37.59413,127.15235,60,과속단속,-1
37.59398,127.15084,50,과속단속,-1
37.63762,127.11772,60,과속단속,-1
37.60036,127.13074,60,과속단속,6
37.63611,127.12165,50,과속단속,-1
37.63654,127.12163,50,과속단속,-1
37.58747,127.14737,30,보호구역,6
37.60068,127.14714,30,보호구역,-1
37.60976,127.13404,30,보호구역,-1
37.61010,127.13053,30,보호구역,-1
37.58275,127.12589,30,보호구역,-1
37.59772,127.14363,50,과속단속,-1
37.60831,127.14119,30,보호구역,-1
37.59222,127.13782,30,보호구역,-1
37.59309,127.15262,30,보호구역,-1
37.59731,127.13302,30,보호구역,-1
37.58687,127.13474,30,보호구역,-1
37.58775,127.13193,40,보호구역,-1
37.62980,127.12008,30,보호구역,-1
37.62983,127.12036,30,보호구역,-1
37.62866,127.11561,30,보호구역,-1
37.60120,127.14105,50,과속단속,163
37.60755,127.13431,40,보호구역,348
37.63014,127.12149,50,과속단속,-1
37.58772,127.13032,60,과속단속,1
37.62982,127.14134,50,과속단속,82
37.62982,127.14091,60,과속단속,193
37.60800,127.13085,50,보호구역,-1
37.57940,127.14587,60,과속단속,-1
37.57670,127.14558,80,과속단속,93
37.63861,127.12002,60,과속단속,-1
37.59436,127.15096,60,과속단속,-1
37.61654,127.13789,60,과속단속,4
37.57374,127.12221,60,과속단속,22
37.56423,127.11520,60,과속단속,194
37.60104,127.13082,60,과속단속,14
37.64091,127.12831,60,과속단속,282
37.58673,127.14554,60,과속단속,101
37.38839,126.96046,30,보호구역,-1
37.39058,126.97555,30,보호구역,-1
37.39113,126.97510,30,보호구역,-1
37.39670,126.97829,30,보호구역,-1
37.40691,126.96953,30,보호구역,-1
37.40677,126.96984,30,보호구역,-1
37.40510,126.90106,30,보호구역,-1
37.40738,126.90055,50,과속단속,-1
37.41679,126.90790,30,보호구역,-1
37.38994,126.90782,30,과속단속,-1
37.39092,126.90784,30,과속단속,-1
37.40664,126.91674,30,보호구역,-1
37.40401,126.92184,30,보호구역,-1
37.40456,126.92253,30,보호구역,-1
37.38555,126.95369,30,보호구역,-1
37.38752,126.95378,30,보호구역,-1
37.39828,126.96137,30,보호구역,-1
37.39675,126.95784,30,보호구역,-1
37.40594,126.95823,30,과속단속,-1
37.40595,126.95662,30,과속단속,-1
37.39885,126.94728,30,보호구역,-1
37.41527,126.90877,30,보호구역,-1
37.43079,126.90399,60,과속단속,-1
37.39071,126.94985,50,과속단속,-1
37.40407,126.96264,50,과속단속,257
37.40407,126.96264,60,과속단속,257
37.40361,126.94359,30,보호구역,-1
37.37612,126.96267,50,과속단속,159
37.39355,126.97928,30,보호구역,-1
37.40576,126.96915,30,보호구역,-1
37.40140,126.96082,30,보호구역,-1
37.39479,126.93990,30,보호구역,-1
37.39963,126.93363,30,보호구역,-1
37.39950,126.93346,30,보호구역,-1
37.39794,126.93885,30,보호구역,-1
37.39134,126.91459,30,보호구역,-1
37.38415,126.95934,50,과속단속,157
37.38438,126.95989,50,과속단속,338
37.38394,126.95598,50,과속단속,-1
37.39272,126.90956,50,과속단속,-1
37.39169,126.90943,50,과속단속,-1
37.41682,126.91781,30,과속단속,-1
37.41682,126.91781,30,보호구역,-1
37.40687,126.90765,50,과속단속,-1
37.40192,126.90078,30,보호구역,-1
37.40050,126.92720,30,보호구역,-1
37.39346,126.91405,30,보호구역,-1
37.37798,126.96588,30,보호구역,-1
37.40303,126.89627,50,과속단속,-1
37.39136,126.94485,60,과속단속,135
37.39671,126.97682,50,과속단속,307
37.39383,126.96030,50,과속단속,-1
37.39483,126.96234,50,과속단속,-1
37.37139,126.96083,60,과속단속,-1
37.39935,126.97745,60,과속단속,-1
37.38699,126.95319,50,과속단속,-1
37.39658,126.96954,50,과속단속,-1
37.39591,126.96352,50,과속단속,-1
37.40142,126.95071,60,과속단속,-1
37.39791,126.94022,60,과속단속,-1
37.41712,126.90628,50,과속단속,-1
37.41700,126.90715,50,과속단속,-1
37.39467,126.92943,50,과속단속,-1
37.38325,126.93437,50,과속단속,-1
37.40598,126.92345,60,과속단속,148
37.39645,126.93895,60,과속단속,313
37.39929,126.95960,50,과속단속,-1
37.39653,126.94340,50,과속단속,-1
37.36630,126.95652,50,과속단속,-1
37.38831,126.92441,30,과속단속,313
37.37352,126.95759,60,과속단속,349
37.39154,126.94298,30,과속단속,-1
37.37829,126.96956,60,과속단속,210
37.38224,126.95048,30,보호구역,339
37.37748,126.95407,50,과속단속,-1
37.40628,126.94398,30,보호구역,-1
37.38398,126.93432,50,과속단속,-1
37.38321,126.93498,50,과속단속,-1
37.39575,126.92904,30,과속단속,-1
37.37970,126.93812,50,과속단속,-1
37.40408,126.92236,30,보호구역,-1
37.42058,126.90887,50,과속단속,319
37.39454,126.92540,50,과속단속,-1
37.38004,126.93689,60,과속단속,-1
37.43132,126.90352,50,과속단속,168
37.39605,126.91508,50,과속단속,-1
37.40134,126.91951,50,과속단속,-1
37.39591,126.96352,30,보호구역,-1
37.40142,126.95071,30,보호구역,-1
37.39244,126.92906,30,보호구역,-1
37.39667,126.91386,30,보호구역,-1
37.40065,126.90326,30,보호구역,-1
37.40605,126.91795,30,보호구역,-1
37.41153,126.89253,50,과속단속,93
37.39582,126.91530,50,과속단속,-1
37.36593,126.95812,60,과속단속,187
37.39033,126.96398,50,과속단속,-1
37.39573,126.97587,60,과속단속,200
37.39127,126.97408,60,과속단속,20
37.39969,126.93951,60,과속단속,-1
37.37980,126.95731,30,보호구역,-1
37.38051,126.95641,30,보호구역,-1
37.37410,126.95300,30,보호구역,-1
37.38646,126.96499,30,보호구역,-1
37.38415,126.96474,30,보호구역,-1
37.39033,126.96398,30,보호구역,-1
37.38957,126.96491,30,보호구역,-1
37.37857,126.95700,50,과속단속,63
